country_code,Country Name,year,disbursement_amount,cancer,air_pollution_death,basic_sanitation,drinking_water,hand_wash,fuel_tech,crude_suicide,dentists,tuberculosis,doctors,poisoning,unsafe_wash,nursing,tobacco,UHC_coverage,life_expectancy,UHC_data_access,population
AFG,Afghanistan,2005,5578020,34.1,95.12,28.04,29.54,36.87,14,6.3,0.036,189,2.37,2.2,13.92,5.82,42,34,60.3,0.49,25654277
AFG,Afghanistan,2010,10935083,31.7,95.12,34.18,40.52,37.22,20,5.1,0.036,189,2.37,2.11,13.92,5.82,42,34,60.3,0.49,29185507
AFG,Afghanistan,2015,26063,29.8,95.12,40.71,52.39,37.59,29,4.8,0.036,189,2.85,1.92,13.92,1.3,42,34,62.35,0.49,34413603
AFG,Afghanistan,2016,432348,29.8,95.12,42.05,54.84,37.67,31,4.8,0.034,189,2.78,1.89,13.92,1.48,42,38,62.35,0.49,35383128
AGO,Angola,2015,1110667,16.9,7.6,47.37,26.71,26.38,48,5,1.26,366,3.64,3.72,48.81,14,21.65,38,64.5,0.31,27884381
AGO,Angola,2016,2013706,16.5,7.61,48.63,27.08,26.52,48,5,1.26,362,3.64,3.39,48.81,14,21.65,38,64.5,0.31,28842484
ALB,Albania,2015,1179583,17.4,7.06,97.69,89.88,47.93,76,6,1.26,17,3.64,0.48,0.17,36.5,29.9,58,79.69,0.31,2880703
ALB,Albania,2016,1119825,17,7.06,97.7,89.88,47.93,77,6,1.26,17,12.16,0.5,0.17,36.5,29.7,58,79.69,0.31,2876101
ARM,Armenia,2015,1113798,23,80.51,93.06,99.6,92.72,95,7,3.69,50,29.14,0.95,0.18,49.54,27.9,66,77.83,0.44,2925553
ARM,Armenia,2016,1417373,22.3,80.51,93.41,100,93.38,95,7,3.69,44,29.14,0.91,0.18,49.54,27.5,66,77.83,0.44,2936146
AZE,Azerbaijan,2015,381757,22.5,9.77,92.46,79.28,83.24,95,2.7,1.26,71,3.64,0.83,14,14,20.7,63,73.43,0.33,9649341
BEN,Benin,2005,219330,20.1,92.5,10.81,54.12,3.69,5,9.7,0.008,73,0.48,4.21,59.73,7.6,13.3,40,64.25,0.41,7982225
BEN,Benin,2015,2044908,19.7,92.5,16.01,57.87,10.29,5,9.9,0.008,60,0.48,4.4,59.73,7.6,8.3,40,64.25,0.41,10575952
BEN,Benin,2016,2023889,19.6,92.5,16.35,58.22,10.98,5,9.9,0.008,59,0.48,4.3,59.73,7.6,7.8,40,64.25,0.41,10872067
BFA,Burkina Faso,2015,2552050,21.9,92.71,18.83,37.09,11.22,8,7.7,1.26,52,0.66,3.45,49.64,6.7,17.4,38,63.45,0.44,18110624
BFA,Burkina Faso,2016,2955425,21.7,92.71,19.13,36.05,11.55,9,7.7,1.26,51,0.65,3.35,49.64,6.59,16.9,38,63.45,0.44,18646378
BGD,Bangladesh,2005,322362,21.8,6.99,32.41,95.07,32.51,9,6.3,0.17,221,3.08,0.5,11.94,2.84,47.2,46,72.22,0.53,139035505
BGD,Bangladesh,2010,47154,22.2,6.99,39.2,95.75,33.44,12,6.4,0.29,221,3.64,0.58,11.94,1.83,43.5,46,72.22,0.53,147575430
BGD,Bangladesh,2015,54209,21.7,6.99,45.74,96.43,34.41,18,6.1,0.42,221,4.86,0.38,11.94,2.75,40.7,46,74.79,0.53,156256276
BGD,Bangladesh,2016,45128,21.6,6.99,47.01,96.56,34.61,20,6.1,0.44,221,4.97,0.35,11.94,2.64,40.1,46,74.79,0.53,157970840
BGR,Bulgaria,2010,213000,25.1,9.77,85.93,98.74,47.93,46.4,12.5,8.61,41,37.66,1.03,13,47.18,43.1,60,77.23,0.43,7395599
BLZ,Belize,2015,1241768,22.4,9,87.21,95.65,87.03,83,4.8,8.61,25,3.64,0.69,0.97,1744,21.65,66,77.29,0.36,360933
BLZ,Belize,2016,1275130,22.1,9,87.53,96.43,88.56,83,4.8,8.61,37,3.64,0.67,0.97,1827,21.65,66,77.29,0.36,368400
BRA,Brazil,2015,136717,17,9.77,86.55,87,47.93,95,6.5,8.61,43,3.64,0.25,1.05,91.08,18.5,78,78.64,0.43,204471769
BRA,Brazil,2016,760109,16.6,7.03,87.43,87.87,47.93,95,6.5,8.61,43,3.64,0.23,1.05,93.51,17.8,78,78.64,0.43,206163058
BRB,Barbados,2016,3326141,16.2,7.32,96.86,98.48,88.47,95,9.7,1.26,1.2,3.64,0.23,0.16,14,8.8,55,63.93,0.37,285796
BWA,Botswana,2015,1681863,20.7,9.63,74.76,71.89,47.93,55,9.7,1.26,356,3.64,1.22,11.77,41.15,24.6,61,63.93,0.36,2120716
BWA,Botswana,2016,13511946,20.3,9.63,76.02,73.71,47.93,54,9.7,0.42,326,5.27,1.15,11.77,41.15,24.3,61,63.93,0.36,2159944
CHL,Chile,2005,138899,13.9,9.77,94.77,82.43,47.93,95,10.6,0.007,18,9.8,0.33,12,0.94,50.7,70,72.02,0.43,16182721
CMR,Cameroon,2015,2770113,21.8,96.73,38.86,39.05,9.26,23,12.3,0.037,212,3.64,4.19,45.15,14,9.4,43,60.99,0.34,23298368
CMR,Cameroon,2016,6359998,21.6,96.73,38.85,39.01,9.33,24,12.3,0.037,203,3.64,4,45.15,14,9.4,43,60.99,0.34,23926539
COL,Colombia,2005,50000,18.8,5.58,76.97,75.62,47.93,82,6.7,8.76,30,14.73,0.44,0.75,6.6,13.5,76,80.15,0.54,42647723
COL,Colombia,2010,3107,17.3,5.58,82.3,80.13,47.93,85,7.2,9.92,32,15.92,0.48,0.75,8.67,11,76,81.01,0.54,45222700
COL,Colombia,2015,1965537,15.9,5.58,87.55,84.64,65.13,90,8.3,9.74,31,19.74,0.54,0.75,11.65,8.9,76,81.01,0.54,47520667
COL,Colombia,2016,2010621,15.8,5.58,88.59,85.55,65.26,91,0.1,9.74,33,20.34,0.54,0.75,12.22,8.6,66,81.01,0.54,48171392
COM,Comoros,2015,854068,23,93.66,35.82,76.91,15.57,6,6.8,1.26,35,2.72,2.86,50.74,6.29,21.8,49,67.84,0.21,777424
COM,Comoros,2016,1150106,22.9,93.66,35.83,76.91,15.57,7,6.8,1.26,35,2.72,2.79,50.74,6.29,20.9,49,67.84,0.21,795592
CRI,Costa Rica,2015,2122547,11.6,5.34,97.27,98.8,83.84,94,7.9,1.45,11,13.79,0.45,0.86,26.58,10.8,76,83.47,0.47,4847804
CRI,Costa Rica,2016,2198222,11.5,5.34,97.55,99.53,83.84,94,0.1,1.4,9.4,13.76,0.45,0.86,30.05,10.5,76,83.47,0.47,4899345
DOM,Dominican Republic,2015,2267998,19.1,8.84,83.18,89.36,54.9,88,9.7,1.26,55,3.64,0.4,2.21,14.55,10.5,74,75.2,0.51,10281680
DOM,Dominican Republic,2016,4752996,19,8.84,83.54,90.04,55.04,88,9.7,1.26,51,3.64,0.4,2.21,12.07,10.1,74,75.2,0.51,10397743
ECU,Ecuador,2015,2924583,13.4,9.01,86.1,81.88,80.61,94,9.6,5.28,39,20.65,0.89,0.64,25.12,21.65,76,79.5,0.46,16212020
ECU,Ecuador,2016,3528200,13,9.01,87.18,100,80.62,94,0.1,3.18,40,20.37,0.81,0.64,28.54,21.65,74,79.5,0.46,16491115
EGY,Egypt,2015,473663,28.2,9.65,93.97,98.57,88.34,95,3.8,1.83,15,8.22,0.26,2,19.41,21.3,65,72.89,0.5,100004000
EGY,Egypt,2016,1087393,27.7,9.65,94.08,98.69,89.83,95,3.8,1.86,14,8.21,0.28,2,19.25,21.3,65,72.89,0.5,100004000
ETH,Ethiopia,2015,3057219,18.4,82.1,6.86,29.11,7.79,5,7.2,2.26,192,8.21,3.68,43.66,1.17,4.9,39,68.64,0.49,100835458
ETH,Ethiopia,2016,11565882,18.3,82.1,7.09,30.11,7.87,5,7.2,2.26,177,0.46,3.56,43.66,1.17,4.8,39,68.64,0.49,103603501
FJI,Fiji,2015,1436091,30.8,99.04,94.54,88.84,47.93,29,5,0.74,52,8.6,0.7,2.89,30.18,27.4,64,70.08,0.29,868627
FJI,Fiji,2016,1679820,30.6,99.04,95.07,88.7,47.93,29,5,0.74,45,8.6,0.69,2.89,16,27.1,64,70.08,0.29,872399
GAB,Gabon,2016,114457,14.4,8.12,47.37,55.05,47.93,86,5,0.045,533,3.56,1.08,20.58,25.44,21.65,68,67.41,0.26,2007873
GEO,Georgia,2010,75000,25,8.29,91.76,91.36,47.93,65,6.9,3.07,127,44.47,1.25,0.18,39.5,31.6,66,76.3,0.5,3786695
GEO,Georgia,2015,2597317,24.9,8.29,90.49,95.26,47.93,75,8.1,6.14,99,50.06,1.21,0.18,40.17,30.4,66,76.93,0.5,3725276
GEO,Georgia,2016,2594302,24.9,8.29,90.25,95.71,47.93,77,8.1,6.39,92,59.97,1.2,0.18,40,30.1,66,67.41,0.5,3727505
GHA,Ghana,2015,2608148,20.9,84.13,17.15,66.04,40.94,23,5.3,2.26,160,1.27,1.99,18.84,20.02,4,46,67.41,0.56,27849205
GHA,Ghana,2016,3415142,20.8,84.13,17.81,66.79,40.99,24,5.3,1.26,156,1.27,2,18.84,21.16,3.9,46,67.41,0.56,28481946
GIN,Guinea,2015,1486181,22.6,8.69,21.06,49.72,17.36,5,6.4,1.26,177,0.86,3.94,44.63,4.17,21.65,34,60.07,0.34,11432088
GIN,Guinea,2016,1383477,22.4,8.69,21.89,49.24,17.4,5,6.4,0.043,176,0.83,3.78,44.63,1.24,21.65,34,66.28,0.34,11738441
GMB,Gambia,2015,1131787,20.6,97.3,39.01,63.37,7.72,5,5.2,0.081,173,1.02,2.42,29.66,15.45,15.3,45,66.28,0.34,2148000
GMB,Gambia,2016,1261806,20.4,97.3,39.12,63.37,7.8,5,5.2,2.26,170,1.02,2.33,29.66,15.45,15,45,66.28,0.34,2348000
GTM,Guatemala,2015,3279669,14.9,9.89,64.98,88.97,76.57,45,3.1,2.26,26,3.64,1.53,6.3,0.54,21.65,57,74.01,0.39,16252429
GTM,Guatemala,2016,6444142,14.9,9.89,65.02,89.66,76.62,45,3.1,2.26,24,3.64,1.38,6.3,0.6,21.65,57,74.01,0.39,16583060
GUY,Guyana,2015,2167514,30.6,9.77,85.35,100,77.16,71,29.1,2.26,93,3.64,0.73,3.65,6.97,13.8,70,69.22,0.36,767432
GUY,Guyana,2016,2740966,30.5,9.77,85.76,100,77.16,73,0.4,2.26,94,3.64,0.74,3.65,7.32,13.2,70,69.22,0.36,771366
HND,Honduras,2016,3043,14,7.58,80.24,88.09,84.17,53,3,2.63,39,5.98,0.59,3.62,7.42,21.65,65,69.22,0.47,9270795
HTI,Haiti,2016,4548037,26.5,9.2,33.6,42.53,23.15,5,4,2.26,188,1.02,2.98,23.79,1.02,8.6,40,68,0.37,10839970
IDN,Indonesia,2015,2197328,26.5,9.23,69.38,80.16,63.98,67,3.4,0.49,325,2.74,0.63,7.06,12.99,38.2,53,72.5,0.53,258383256
IDN,Indonesia,2016,2400802,26.4,9.23,71.25,81.07,64.09,72,3.4,0.49,322,2.74,0.62,7.06,12.99,38.1,53,68.94,0.53,261554226
IND,India,2010,3987,24.2,61.86,41.47,83.77,59.3,35,16.5,1.49,247,6.62,3.62,18.58,8.7,34.8,52,68.94,0.43,1234281170
IND,India,2015,1162243,23.5,61.86,54.35,88.9,59.3,43,16.5,1.49,217,6.62,2.95,18.58,14.51,29.6,52,70.62,0.43,1310152403
IND,India,2016,2789892,23.3,61.86,56.94,89.95,59.42,45,0.5,1.49,211,7.59,2.82,18.58,14.95,28.8,52,70.62,0.43,1324509589
IRQ,Iraq,2005,267082802,22.9,9.77,74.45,64.08,89.7,89,2.5,1.61,48,6.64,0.55,14,8.7,25.9,52,72.79,0.39,26922284
IRQ,Iraq,2010,30408582,22.5,9.77,82.44,75.3,90.35,95,2.8,1.61,45,6.64,0.64,14,8.7,24.2,52,72.79,0.39,29741976
IRQ,Iraq,2015,33979,21.6,9.77,90.74,86.56,93.39,95,3.1,1.61,43,6.64,0.62,14,16.5,22.9,61,73.41,0.39,35572261
JAM,Jamaica,2015,1055237,14.8,8.72,86.95,84.4,66.42,85,2.1,0.13,4.5,4.15,0.24,0.61,14.51,12,62,77.71,0.39,2891021
JAM,Jamaica,2016,1309794,14.7,8.72,87.32,84.61,66.42,85,2.1,0.16,4.4,4.55,0.25,0.61,16.07,11.6,62,77.71,0.39,2906238
JOR,Jordan,2015,1374942,19.4,51.2,97.53,97.78,47.93,95,2.9,7.35,5.7,28.08,0.77,0.63,2.08,21.65,76,78.77,0.44,9266575
JOR,Jordan,2016,5470,19.2,51.2,97.43,97.74,47.93,95,2.9,7.03,5.4,13.95,0.77,0.63,2.08,21.65,76,78.77,0.44,9551467
KAZ,Kazakhstan,2015,1038311,28.6,62.68,97.74,89.76,99,95,24.9,2.9,81,3.64,3.72,0.38,72.94,25.7,74,76.22,0.4,17542806
KAZ,Kazakhstan,2016,2782368,26.8,62.68,97.81,91.03,99,95,24.9,2.9,73,3.64,3.32,0.38,72.94,25.3,74,76.22,0.4,17794055
KEN,Kenya,2005,396125,15.4,8.47,32.27,40.91,24.56,5,3.9,0.21,630,1.7,3.94,51.15,7.06,16.4,54,63.07,0.46,36624895
KEN,Kenya,2010,217185,13.4,8.47,30.86,44.57,24.56,7,3.1,0.21,531,1.7,3.05,51.15,7.06,14.4,54,63.07,0.46,42030676
KEN,Kenya,2015,1154454,13.3,8.47,29.55,48.18,24.56,9,3.1,0.21,380,1.7,2.55,51.15,8.65,12.7,54,66.62,0.46,47878336
KEN,Kenya,2016,14407784,13.4,8.47,29.3,48.9,24.61,9,3.1,0.21,348,1.7,2.49,51.15,10.36,12.4,54,66.62,0.46,49051686
KGZ,Kyrgyzstan,2016,1593298,24.9,74.01,96.52,81.98,89.21,76,0.2,2.26,133,3.64,0.84,0.78,11,28.2,54,66.62,0.4,15521436
KHM,Cambodia,2015,2293379,21.3,87.33,53.39,69.86,66,17,5.3,2.26,366,3.64,0.75,6.47,5.89,24.8,55,71.89,0.44,15521436
KHM,Cambodia,2016,4914698,21.1,87.33,56.6,71.39,66.11,19,5.3,2.26,348,3.64,0.72,6.47,7.2,23.6,55,61.68,0.44,15766293
LBR,Liberia,2015,2109501,17.2,83.32,16.69,60.81,1.18,5,6.5,2.26,308,0.38,2.46,41.54,1.01,9.1,37,61.68,0.36,4472230
LBR,Liberia,2016,2956888,17.6,83.32,16.83,61.39,1.18,5,6.5,2.26,308,0.38,2.49,41.54,1.01,8.8,37,61.68,0.36,4586788
LSO,Lesotho,2010,7307236,27,58.64,29.98,61.31,1.96,31,20.1,2.26,1180,0.69,3.31,44.36,6.66,26,47,50.69,0.34,1995581
LSO,Lesotho,2015,1943378,26.6,58.64,39.06,59.79,2.07,36,21,2.26,780,0.69,3.3,44.36,6.66,28,47,50.58,0.34,2059021
LSO,Lesotho,2016,4172717,26.6,58.64,40.77,59.49,2.1,37,21,2.26,721,0.69,3.26,44.36,6.66,28.7,47,50.58,0.34,2075001
MAR,Morocco,2015,4727495,12.5,7.63,87.54,67.69,47.93,95,2.9,1.41,102,3.64,0.68,1.9,11,15.9,69,73.55,0.41,34663603
MAR,Morocco,2016,3900378,12.4,7.63,88.42,70.73,47.93,95,2.9,1.41,103,3.64,0.66,1.9,11,15.5,69,73.55,0.41,35126296
MDG,Madagascar,2015,2279176,23.1,8.28,9.74,34.78,50.54,5,4,2.26,233,3.64,4.1,30.23,11,30.7,24,65.5,0.34,24234088
MDG,Madagascar,2016,1936979,22.9,8.28,10.12,35.55,47.93,5,4,2.26,233,3.64,4.03,30.23,11,30,24,65.5,0.34,24894380
MEX,Mexico,2010,39722,16.3,7.18,84.88,88.38,87.79,85,4.6,1.16,22,22.36,0.63,1.06,24.12,17.7,76,78.01,0.54,114092963
MEX,Mexico,2015,218183,15.9,7.18,89.42,94.26,87.79,85,5.6,1.3,22,23.25,0.58,1.06,24.17,15.2,76,78.61,0.54,121858258
MEX,Mexico,2016,642048,15.7,7.18,90.3,95.44,87.82,85,5.6,1.36,22,23.24,0.57,1.06,25.1,14.8,76,78.61,0.54,123333376
MLI,Mali,2015,1733285,24.8,74.55,36.18,64.59,51.74,5,4.8,0.06,57,1.4,4.27,70.72,4.13,12.1,35,61.41,0.41,17438778
MLI,Mali,2016,2312328,24.6,74.55,37.75,66.46,51.99,5,4.8,0.06,56,1.4,4.16,70.72,4.13,12.1,35,69.47,0.41,17965429
MNG,Mongolia,2010,4367546,32.3,97.05,55.52,44.13,70.92,35,16.6,1.96,428,27.56,2.83,1.29,36.31,31.9,62,69.47,0.46,2719896
MNG,Mongolia,2015,2878410,30.4,97.05,57.98,52.86,71.14,44,13.1,1.96,428,32.19,2.23,1.29,37.88,29,62,72.13,0.46,2998439
MNG,Mongolia,2016,2603144,30.2,97.05,58.46,54.69,71.16,46,13.1,2.34,428,28.59,2.17,1.29,40.8,28.4,62,72.13,0.46,3056359
MOZ,Mozambique,2015,3444576,18.4,9.78,26.87,35.54,12.23,5,4.9,0.07,361,0.41,3.6,27.63,6.38,16,43,59.45,0.34,27042002
MOZ,Mozambique,2016,19234203,18.4,9.78,28.11,37.74,47.93,5,4.9,0.07,361,0.5,3.49,27.63,6.79,15.4,43,59.45,0.34,27829942
MWI,Malawi,2015,1501809,16.3,6.99,25.58,63.31,9.66,5,3.6,0.07,197,0.17,2.58,28.29,2.99,14.3,43,66.47,0.43,16745303
MWI,Malawi,2016,6939510,16.4,6.99,25.9,64.36,9.18,5,3.6,0.07,176,0.17,2.49,28.29,2.99,13.8,43,66.47,0.43,17205289
NAM,Namibia,2015,1715210,21.6,9.4,33.9,68.89,43.86,44,9,2.26,639,3.64,1.65,18.32,18.86,18.6,61,66.22,0.36,2314904
NAM,Namibia,2016,9718731,21.3,9.4,34.21,69.05,44.24,45,9,2.26,604,3.64,1.56,18.32,20.42,18.3,61,66.22,0.36,2358041
NER,Niger,2015,46672,20.2,92.34,12.75,41.6,47.93,5,4.7,0.015,95,0.47,5.36,70.81,2.04,8.4,35,62.86,0.43,20001663
NER,Niger,2016,44062,20,92.34,13.16,42.62,47.93,5,4.7,0.009,93,0.43,5.28,70.81,2.7,8.4,35,62.86,0.43,20788838
NGA,Nigeria,2010,5000,22.9,9.77,34.31,46.96,47.93,5,10,0.53,219,3.64,4.66,14,13.57,5.7,35,60.79,0.49,158503197
NPL,Nepal,2015,68230,22.2,8.23,55.74,87.48,49.79,27,9.1,2.26,268,3.64,0.59,19.83,11,35.7,51,71.39,0.49,27015031
NPL,Nepal,2016,1527,21.8,8.23,58.87,88.11,48.79,28,9.1,2.26,260,3.64,0.56,19.83,11,34.3,51,71.39,0.49,27261131
PNG,Papua New Guinea,2015,143135,29.9,9.98,14.13,33.38,47.93,7,6,2.26,432,3.64,2.78,16.31,11,21.65,41,66.54,0.26,8107775
PNG,Papua New Guinea,2016,1271754,30,9.98,13.54,34,47.93,8,6,2.26,432,3.64,2.62,16.31,11,21.65,41,66.54,0.26,8271760
SEN,Senegal,2016,2251540,18.1,74.3,50.78,68.52,24,26,3,0.081,122,0.71,2.99,23.87,3,9.5,40,66.54,0.56,14993528
SLE,Sierra Leone,2015,209468,30,9.77,14.94,46.9,17.5,5,9.3,2.26,307,3.64,5.26,14,3,21.8,36,57.93,0.43,7171914
SWZ,Eswatini,2015,1137213,26.6,9.77,57.87,59.37,24,48,13.1,2.26,648,3.64,3.41,14,36.01,10.8,60,58.71,0.4,1104044
TJK,Tajikistan,2016,142550,25.3,70.49,96.58,73.66,72.65,78,3,2.26,85,3.64,1.42,2.7,3,21.65,40,70,0.34,8663579
TON,Tonga,2015,822884,23.5,9.77,93.45,99.77,47.93,52,3.5,2.26,16,3.64,1.53,14,3,30.6,56,75.54,0.17,100781
VUT,Vanuatu,2015,2495449,23.7,75.76,38.13,86.98,25.15,9,4.5,2.26,63,1.65,1.34,10.42,2,25.1,49,67.68,0.26,271130
VUT,Vanuatu,2016,2465942,23.3,75.76,36.09,87.79,25.18,9,4.5,2.26,56,1.65,1.32,10.42,2,24.8,49,67.68,0.26,278330
